,Primary Term,perm_1,perm_2,perm_3,perm_4,perm_5,perm_6,perm_7,perm_8,perm_9,perm_10
833,WELD,WLD,WELDED,WLDMT,WELDMENT,W,WD,WEL,WELD.,W.,WELD-
834,WELD NECK CLAMP,WN CLAMP,WN CLP,WELD NECK CLP,W.N. CLAMP,W/N CLAMP,WELDNECK CLAMP,WELDNECK CLP,W-N CLAMP,WN-CLAMP,W.N.C
835,WELD NECK HD CLAMP FLANGE,WN HD CLAMP FLANGE,WELD NECK HD CLMP FLG,WN HD CLMP FLG,WNHD CLAMP FLANGE,WNHD CLMP FLG,HD CLAMP WN FLANGE,HD CLMP WN FLG,HEAVY DUTY CLAMP WN FLANGE,HEAVY DUTY CLMP WN FLG,HD CLAMP WELD NECK FLG
836,WELD NIPPLE,WLD NPLE,WELD NIP,WLD NIP,WELD NPPLE,WLD NIPPLE,W NIPPLE,W NIP,W NPLE,WELD-NIP,WLD-NIP
837,WELD NIPPLE TOE,WLD NIP TOE,WELD NIP TOE,W NIP TOE,WN TOE,WELDING NIPPLE TOE,WELD NPL TOE,W NPL TOE,WLD NPL TOE,WLDG NIP TOE,WELD-NIPPLE-TOE
838,WELD PIPE,WELDED PIPE,WLD PIPE,WELD PIP,WLD PIP,W PIPE,W PIP,WELD LINE,WELDED LINE,WLD LINE,W LINE
839,HEAVY DUTY CLAMP,HD CLAMP,HEAVY DUTY CLMP,HD CLMP,HVY DTY CLAMP,H/D CLAMP,H.D. CLAMP,HEAVY-DUTY CLAMP,H-D CLAMP,HDC,HVY-DTY CLMP
840,ADVANCED GROOVE,ADV GROOVE,ADV GRV,ADVNCD GROOVE,ADV. GROOVE,A GROOVE,A GRV,A.GROOVE,A.GRV,ADVANCED GRV,AG
841,BREATHER VENT,BRTH VNT,BR VNT,BV,BVENT,BREATH VT,B VENT,BRTH-VNT,BR-VNT,BRTHVNT,B.V.
842,BULL HEAD PLUG,BULLHEAD PLUG,BULL-HEAD PLUG,BH PLUG,B.H. PLUG,B-H PLUG,B/H PLUG,BH PLG,BULL HD PLG,BULL HEAD PLG,BULLHEAD PLG
843,CLEVIS PIN,CLEV PIN,CLV PIN,CL PIN,CLVS PIN,CLEVIS,C PIN,CLEVS PIN,CLV P,CLEV P,CLP
844,COMPRESSION UNION,COMP UNION,COMP UN,COMPRESSION UN,COMP UNN,COMPRESS UNION,CMP UNION,CMP UN,COMPR UNION,COMPR UN,COMPRESS UN
845,TURNBUCKLE BODY,TB BODY,T/B BODY,TURNBUCKLE BDY,T-BUCKLE BODY,T/BUCKLE BODY,TURN-BUCKLE BODY,T.B. BODY,TRN BCKL BODY,TBKL BODY,TRNBKL BODY
846,WIRE ROPE CLIP,WR CLIP,WIRE RP CLIP,WIRE ROPE CLP,W/R CLIP,WRC,WIRE CABLE CLIP,CABLE CLIP,W.R. CLIP,WIRE-ROPE CLIP,W/ROPE CLIP
847,ENVELOPE,ENV,ENVLP,ENVELOP,ENVEL,ENVLPE,ENVP,ENV.,ENVL,ENVL.,E.N.V.
848,I-LINE,I LINE,ILINE,I-LN,ILN,I LN,I.LINE,I_LINE,I.LN,INLINE,IN LINE
849,T-HEAD NUT AND BOLT,T HEAD NUT & BOLT,THEAD NUT AND BOLT,T-HEAD N&B,T HD N&B,T HD NUT & BOLT,THEAD N&B,T-HEAD BOLT W/NUT,T HEAD BOLT WITH NUT,T-HEAD NB,THD N&B
850,WAX RING,WAXRING,WAX-RING,WAX RNG,WX RNG,WX RING,WAX-RNG,WX-RNG,W/RING,WR,W RING
851,HEX HEAD CAPSCREW,HEX HD CS,HHCS,HH CS,HEX HEAD CS,HEX HD CAPSCREW,H.H.C.S.,HEX CAP,HEX HD BOLT,HEX HEAD BOLT,HH BOLT
852,WATER PIPE,WTR PIPE,H2O PIPE,WATER LINE,WTR LINE,H2O LINE,WATER PIPING,WTR PIPING,H2O PIPING,W PIPE,W.P.
853,FABRICATED 2-PIECE,FAB 2-PC,FAB 2PC,FABRICATED TWO-PIECE,FAB TWO-PIECE,FAB TWO PC,FABR 2-PC,FABR 2PC,2-PC FAB,2PC FAB,TWO-PIECE FAB
854,22-0.5 DEGREE ELBOW 2-PIECE,22.5° ELBOW 2PC,22.5 DEG ELL 2-PC,22.5° ELL 2 PIECE,22-1/2° ELBOW 2PC,22-1/2 DEG ELL 2-PC,22.5D ELBOW 2-PIECE,ELBOW 22.5° 2PC,ELL 22.5° 2-PIECE,22-1/2° 2PC ELBOW,22.5 DEG 2PC ELL
855,WATER ANCHORED PIPE,WAP,W.A.P.,WATER-ANCHORED PIPE,WATER ANCHOR PIPE,WTR ANCHORED PIPE,WTR ANCHOR PIPE,WATER-ANCHOR PIPE,H2O ANCHORED PIPE,H2O ANCHOR PIPE,WATER ANCHRD PIPE
856,11-0.25 ELBOW,11-1/4 ELBOW,11-0.25 ELL,11-1/4 ELL,ELBOW 11-0.25,ELL 11-0.25,ELBOW 11-1/4,ELL 11-1/4,11-0.25° ELBOW,11-0.25° ELL,11.25° ELBOW
857,ELBOW 45,45 ELBOW,45° ELBOW,45 ELL,45° ELL,ELL 45,ELBOW 45°,45 DEG ELBOW,45 DEG ELL,ELL 45°,45-DEG ELBOW
858,LONG RADIUS 90 ELBOW,LR 90 ELBOW,LR 90 ELL,LR 90° ELBOW,LR 90° ELL,LONG RAD 90 ELBOW,LONG RAD 90 ELL,L.R. 90 ELBOW,L.R. 90 ELL,ELBOW LR 90,ELL LR 90
859,SHORT RADIUS 90 ELBOW,SR 90 ELBOW,SR 90 ELL,SR 90° ELBOW,SR 90° ELL,SHORT RAD 90 ELBOW,SHORT RAD 90 ELL,S.R. 90 ELBOW,S.R. 90 ELL,SHORT R 90 ELBOW,SHORT R 90 ELL
860,STRAIGHT TEE,STR TEE,STRAIT TEE,STR T,STRAIGHT T,TEE STRAIGHT,EQUAL TEE,T STRAIGHT,STRGHT TEE,TEE STR,EQ TEE
861,LONG RADIUS 45 ELBOW,LR 45 ELL,LR 45° ELBOW,LR 45 ELBOW,LR 45° ELL,LONG RAD 45 ELL,LONG RAD 45° ELBOW,LONG RADIUS 45° ELL,L.R. 45 ELBOW,L.R. 45° ELL,ELBOW LR 45
862,ELBOW 45 DEGREE,45 DEG ELL,45° ELBOW,45 ELBOW,45° ELL,ELBOW 45°,ELL 45°,45 DEG ELBOW,45 DEGREE ELL,ELBOW 45 DEG,ELL 45 DEG
863,90 DEGREE LONG RADIUS ELBOW,90 DEG LR ELBOW,90° LR ELL,90 LR ELBOW,LR 90 ELBOW,90 LR ELL,LONG RADIUS 90 ELL,90 LONG RAD ELBOW,LR 90° ELBOW,90 DEGREE LR ELL,ELBOW LR 90
864,RISING STEM GATE VALVE,RSGV,RS GATE VLV,RISING STEM GV,R/S GATE VALVE,RS GTX VLV,R.S.G.V.,RISING STEM GT VLV,RS GATE VALVE,RISING-STEM GATE VLV,R-S GATE VALVE
865,PIPE ERW,ERW PIPE,ELECTRIC RESISTANCE WELDED PIPE,E.R.W. PIPE,ERW LINE PIPE,ELECTRIC RESISTANCE WELD,ERW,E R W PIPE,WELDED PIPE ERW,E.R.W,RESISTANCE WELDED PIPE
866,COMPOSITE GRAPHITE,COMP GRAPH,COMP GRPH,COMP-GRAPH,COMP-GRPH,C-GRAPH,C GRAPH,COMPOSITE-GRAPHITE,CMPSIT GRPHT,CMP GRPHT,COMP GR
867,SEAMLESS CONCENTRIC,SMLS CONCENTRIC,SMLS CONC,SMLSS CONCENTRIC,SEAMLESS CONC,SMLSS CONC,CONC SMLS,CONCENTRIC SMLS,S/L CONCENTRIC,S/L CONC,CONC S/L
868,ELBOW 90 STREET,90 STREET ELBOW,90° STREET ELBOW,90 STR ELBOW,90° STR ELBOW,90 ST ELBOW,90° ST ELBOW,STREET ELL 90,STR ELL 90,ST ELL 90,90 ST ELL
869,STREET ELBOW 90,STREET ELL 90,STR ELL 90,STR ELBOW 90,90 STREET ELBOW,90 STREET ELL,90 STR ELL,90 STR ELBOW,90° STREET ELBOW,90° STREET ELL,90° STR ELL
870,ELBOW 90 DEGREE,90 DEG ELBOW,90° ELBOW,90 ELBOW,90 DEG ELL,90° ELL,ELBOW 90,ELL 90,90 ELL,90D ELBOW,90D ELL
871,THREADED RAISED FACE,THD RF,THRD RF,THD RAISED FACE,THRD RAISED FACE,THREADED RF,TH RF,THD R.F.,THRD R.F.,TH R.F.,THD R/F
872,BLIND RAISED FACE,BRF,RF BLIND,BLIND RF,RAISED FACE BLIND,RF BLD,BLIND RF FLANGE,RF BLIND FLANGE,RAISED FACE BLIND FLANGE,BLD RF,R.F. BLIND
873,RING INNER,INNER RING,I/RING,I RING,I/R,I.R.,IR,INNER R,INT RING,INTERNAL RING,INT R
874,LATERALWYE,LATERAL WYE,LAT WYE,LAT-WYE,LATRL WYE,LTRL WYE,LAT Y,LATERAL Y,LATRL Y,WYE LAT,Y LAT
875,PIPE SEAMLESS,SMLS PIPE,SEAMLESS PIPE,S/L PIPE,PIPE S/L,SMLS LINE PIPE,S.L. PIPE,PIPE SMLS,SEAMLESS LINE PIPE,SML PIPE,PIPE (SMLS)
876,876. SEAMLESS THREADED,876. SMLS THD,876. SMLS THRD,876. SMLSS THD,876. SEAMLESS THD,876. SMLSS THRD,876. SMLS THREADED,876. S/L THD,876. S/L THRD,876. SML THD,876. SML THRD
